"ScanDateTime","ScanDate","PrintIDName","Section","Page","ZoneNumber","Cyan","Magenta","Yellow","Black"
"2013-12-03 12:18:09","2012/12/09","Press 40 (Monday- Best Effort)","B","1","1","0.573527","0.531054","0.573701","0.573714"
"2013-12-03 12:17:34","2012/12/09","Press 40 (Monday- Best Effort)","D","1","1","0.442398","0.410619","0.455526","0.443098"
"2013-12-03 12:20:01","2012/12/09","Press 40 (Monday- Best Effort)","C","1","1","0.634164","0.560898","0.580984","0.618013"
"2013-12-03 12:20:01","2012/12/09","Press 40 (Monday- Best Effort)","C","1","2","0.583382","0.527146","0.561715","0.574331"
"2013-12-03 12:17:34","2012/12/09","Press 40 (Monday- Best Effort)","D","1","2","0.454316","0.420431","0.468304","0.453966"
"2013-12-03 12:18:09","2012/12/09","Press 40 (Monday- Best Effort)","B","1","2","0.545826","0.51179","0.559718","0.54925"
"2013-12-03 12:18:09","2012/12/09","Press 40 (Monday- Best Effort)","B","1","3","0.525852","0.490334","0.547521","0.526452"
"2013-12-03 12:17:34","2012/12/09","Press 40 (Monday- Best Effort)","D","1","3","0.467403","0.426652","0.474167","0.464651"
"2013-12-03 12:20:01","2012/12/09","Press 40 (Monday- Best Effort)","C","1","3","0.554632","0.508621","0.552805","0.550286"
"2013-12-03 12:20:01","2012/12/09","Press 40 (Monday- Best Effort)","C","1","4","0.558062","0.514152","0.557845","0.555069"
"2013-12-03 12:17:34","2012/12/09","Press 40 (Monday- Best Effort)","D","1","4","0.470363","0.427397","0.479521","0.465451"
"2013-12-03 12:18:09","2012/12/09","Press 40 (Monday- Best Effort)","B","1","4","0.535184","0.491757","0.547548","0.528051"
"2013-12-03 12:18:09","2012/12/09","Press 40 (Monday- Best Effort)","B","1","5","0.539119","0.480608","0.537596","0.527117"
"2013-12-03 12:17:34","2012/12/09","Press 40 (Monday- Best Effort)","D","1","5","0.467592","0.420847","0.479307","0.461697"
"2013-12-03 12:20:01","2012/12/09","Press 40 (Monday- Best Effort)","C","1","5","0.549855","0.505575","0.554428","0.547124"
"2013-12-03 12:20:01","2012/12/09","Press 40 (Monday- Best Effort)","C","1","6","0.547829","0.513664","0.560604","0.550701"
"2013-12-03 12:17:34","2012/12/09","Press 40 (Monday- Best Effort)","D","1","6","0.462644","0.402654","0.474009","0.449397"
"2013-12-03 12:18:09","2012/12/09","Press 40 (Monday- Best Effort)","B","1","6","0.555903","0.496134","0.541631","0.543826"
"2013-12-03 12:18:09","2012/12/09","Press 40 (Monday- Best Effort)","B","1","7","0.569128","0.510434","0.543628","0.558477"
"2013-12-03 12:17:34","2012/12/09","Press 40 (Monday- Best Effort)","D","1","7","0.463283","0.387395","0.466138","0.439401"
"2013-12-03 12:20:01","2012/12/09","Press 40 (Monday- Best Effort)","C","1","7","0.564084","0.531423","0.565253","0.56584"
"2013-12-03 12:20:01","2012/12/09","Press 40 (Monday- Best Effort)","C","1","8","0.591794","0.555324","0.583721","0.596243"
"2013-12-03 12:17:34","2012/12/09","Press 40 (Monday- Best Effort)","D","1","8","0.467036","0.390367","0.463129","0.442112"
"2013-12-03 12:18:09","2012/12/09","Press 40 (Monday- Best Effort)","B","1","8","0.60395","0.537443","0.565838","0.592668"
"2013-12-03 11:03:49","2012/12/09","Press 40 (Monday- Best Effort)","A","10","1","0.472796","0.461658","0.479743","0.486909"
"2013-12-03 11:03:49","2012/12/09","Press 40 (Monday- Best Effort)","A","10","2","0.472844","0.462915","0.479042","0.487602"
"2013-12-03 11:03:49","2012/12/09","Press 40 (Monday- Best Effort)","A","10","3","0.466692","0.448342","0.457619","0.47583"
"2013-12-03 11:03:49","2012/12/09","Press 40 (Monday- Best Effort)","A","10","4","0.460802","0.444331","0.458967","0.472792"
"2013-12-03 11:03:49","2012/12/09","Press 40 (Monday- Best Effort)","A","10","5","0.462342","0.452272","0.475979","0.477142"
"2013-12-03 11:03:49","2012/12/09","Press 40 (Monday- Best Effort)","A","10","6","0.455139","0.445759","0.474391","0.469353"
